            , InnenN, InnenS, Nippes1, Niehl, Nippes2, Ehrenfeld, Braunsfeld, Sulz, Lindenthal, Bayent, Marienburg, Deutz,  Kalk, Mullheim, Ossendorf, Rodenkirchen, Junkersdorf
InnenN      ,   11.5,   11.5,    12.5,  15.5,      14,      12.5,         14, 13.5,       15.5,     14,      15.5,     14,    18,     22.5,      19.5,           20,        19.5 
InnenS      ,       ,   11.5,    13.5,    17,    15.5,        14,       14.5, 12.5,         15,   13.5,        15,     14,    18,       23,      19.5,         19.5,        19.5 
Nippes1     ,       ,       ,      14,    14,      14,      15.5,         17, 15.5,         18,     18,      20.5,     17,  20.5,     22.5,      20.5,         22.5,        22.5 
Niehl       ,       ,       ,        ,    15,      15,        17,       19.5,   18,       19.5,     20,      22.5,   19.5,  22.5,     22.5,      20.5,           25,          25 
Nippes2     ,       ,       ,        ,      ,      15,        17,       18.5, 19.5,         20,   20.5,        21,   18.5,    23,       23,      20.5,         24.5,        24.5 
Ehrenfeld   ,       ,       ,        ,      ,        ,        14,         14,   15,       15.5,   17.5,        18,   18.5,    23,     23.5,      19.5,         22.5,          23 
Braunsfeld  ,       ,       ,        ,      ,        ,          ,         15, 15.5,         17,     18,      18.5,   20.5,  23.5,       25,      19.5,           24,          24 
Sulz        ,       ,       ,        ,      ,        ,          ,           ,   14,         15,     15,        18,     18,  22.5,     24.5,      22.5,           20,        20.5 
Lindenthal  ,       ,       ,        ,      ,        ,          ,           ,     ,         15,     15,        18,   20.5,    23,       25,        23,           21,          21 
Bayenthal   ,       ,       ,        ,      ,        ,          ,           ,     ,           ,     14,      14.5,   19.5,  22.5,       24,      23.5,         19.5,          21 
Marienburg  ,       ,       ,        ,      ,        ,          ,           ,     ,           ,       ,        17,   20.5,  23.5,       25,      24.5,         19.5,        22.5 
Deutz       ,       ,       ,        ,      ,        ,          ,           ,     ,           ,       ,          ,   14.5,    18,     20.5,        23,         22.5,        22.5 
Kalk        ,       ,       ,        ,      ,        ,          ,           ,     ,           ,       ,          ,       ,  19.5,     20.5,        25,           24,          24 
Mullheim    ,       ,       ,        ,      ,        ,          ,           ,     ,           ,       ,          ,       ,      ,     20.5,      24.5,           26,          26 
Ossendorf   ,       ,       ,        ,      ,        ,          ,           ,     ,           ,       ,          ,       ,      ,         ,        20,           26,          26 
Rodenkirchen,       ,       ,        ,      ,        ,          ,           ,     ,           ,       ,          ,       ,      ,         ,          ,         23.5,        23.5 
Junkersdorf ,       ,       ,        ,      ,        ,          ,           ,     ,           ,       ,          ,       ,      ,         ,          ,             ,        23.5
